,,,43.53399947E-3,-2.3999999E-3,,,,,43.53399947E-3,-3.99999972E-3,
,,,43.53599995E-3,-2.3999999E-3,,,,,43.53599995E-3,-3.99999972E-3,
,,,43.53800043E-3,-2.3999999E-3,,,,,43.53800043E-3,-3.99999972E-3,
,,,43.54000092E-3,-2.3999999E-3,,,,,43.54000092E-3,-3.99999972E-3,
,,,43.54199767E-3,-2.3999999E-3,,,,,43.54199767E-3,-3.99999972E-3,
,,,43.54399815E-3,-2.3999999E-3,,,,,43.54399815E-3,-3.99999972E-3,
,,,43.54599863E-3,-2.3999999E-3,,,,,43.54599863E-3,-3.99999972E-3,
,,,43.54799911E-3,-2.3999999E-3,,,,,43.54799911E-3,-3.99999972E-3,
,,,43.54999959E-3,-2.3999999E-3,,,,,43.54999959E-3,-3.99999972E-3,
,,,43.55200008E-3,-1.6000000E-3,,,,,43.55200008E-3,-3.99999972E-3,
,,,43.55400056E-3,-1.6000000E-3,,,,,43.55400056E-3,-3.99999972E-3,
,,,43.55600104E-3,-1.6000000E-3,,,,,43.55600104E-3,-3.99999972E-3,
,,,43.55799779E-3,-1.6000000E-3,,,,,43.55799779E-3,-3.99999972E-3,
,,,43.55999827E-3,-1.6000000E-3,,,,,43.55999827E-3,-3.99999972E-3,
,,,43.56199875E-3,-1.6000000E-3,,,,,43.56199875E-3,-3.99999972E-3,
,,,43.56399924E-3,-1.6000000E-3,,,,,43.56399924E-3,-3.99999972E-3,
,,,43.56599972E-3,-1.6000000E-3,,,,,43.56599972E-3,-3.19999992E-3,
,,,43.56800020E-3,-1.6000000E-3,,,,,43.56800020E-3,-3.99999972E-3,
,,,43.57000068E-3,-1.6000000E-3,,,,,43.57000068E-3,-3.19999992E-3,
,,,43.57199743E-3,-1.6000000E-3,,,,,43.57199743E-3,-3.99999972E-3,
,,,43.57399791E-3,-1.6000000E-3,,,,,43.57399791E-3,-3.99999972E-3,
,,,43.57599840E-3,-1.6000000E-3,,,,,43.57599840E-3,-3.19999992E-3,
,,,43.57799888E-3,-1.6000000E-3,,,,,43.57799888E-3,-3.99999972E-3,
,,,43.57999936E-3,-1.6000000E-3,,,,,43.57999936E-3,-3.99999972E-3,
,,,43.58199984E-3,-1.6000000E-3,,,,,43.58199984E-3,-3.19999992E-3,
,,,43.58400032E-3,-1.6000000E-3,,,,,43.58400032E-3,-3.19999992E-3,
,,,43.58600080E-3,-1.6000000E-3,,,,,43.58600080E-3,-3.19999992E-3,
,,,43.58799756E-3,-1.6000000E-3,,,,,43.58799756E-3,-3.19999992E-3,
,,,43.58999804E-3,-1.6000000E-3,,,,,43.58999804E-3,-3.19999992E-3,
,,,43.59199852E-3,-1.6000000E-3,,,,,43.59199852E-3,-3.19999992E-3,
,,,43.59399900E-3,-799.999979790E-6,,,,,43.59399900E-3,-3.19999992E-3,
,,,43.59599948E-3,-799.999979790E-6,,,,,43.59599948E-3,-3.19999992E-3,
,,,43.59799996E-3,-799.999979790E-6,,,,,43.59799996E-3,-3.19999992E-3,
,,,43.60000044E-3,-799.999979790E-6,,,,,43.60000044E-3,-3.19999992E-3,
,,,43.60200092E-3,-799.999979790E-6,,,,,43.60200092E-3,-3.19999992E-3,
,,,43.60399768E-3,-799.999979790E-6,,,,,43.60399768E-3,-3.19999992E-3,
,,,43.60599816E-3,-799.999979790E-6,,,,,43.60599816E-3,-2.3999999E-3,
,,,43.60799864E-3,-799.999979790E-6,,,,,43.60799864E-3,-3.19999992E-3,
,,,43.60999912E-3,-799.999979790E-6,,,,,43.60999912E-3,-2.3999999E-3,
